what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1349568872316
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1349568872317
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1349568872318
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1349568872319
os,sysinfo,,,"linux",1349568872324
arch,sysinfo,,,"x86_64",1349568872324
ws,sysinfo,,,"gtk",1349568872324
locale,sysinfo,,,"en_US",1349568872324
processors,sysinfo,,,"48",1349568872325
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1349568872325
java.runtime.version,sysinfo,,,"1.6.0_14-b08",1349568872325
java.specification.name,sysinfo,,,"Java Platform API Specification",1349568872325
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1349568872325
java.specification.version,sysinfo,,,"1.6",1349568872325
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1349568872325
java.version,sysinfo,,,"1.6.0_14",1349568872325
java.vm.info,sysinfo,,,"mixed mode",1349568872325
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1349568872325
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1349568872325
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1349568872325
java.vm.specification.version,sysinfo,,,"1.0",1349568872325
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1349568872325
java.vm.version,sysinfo,,,"14.0-b16",1349568872325
opened,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1349569087041
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1349569087292
